tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
28,aa,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
102,helloflight,AA-1007-MIA-PHX,,5:09 p.m.,,7:43 p.m.
201,boston,AA-1007-MIA-PHX,,5:09 p.m.,,7:53 p.m.
389,airtravelcenter,AA-1007-MIA-PHX,,5:09 p.m.,,7:43 p.m.
488,flightview,AA-1007-MIA-PHX,,5:09 p.m.,,7:53 p.m.
588,flightstats,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
680,panynj,AA-1007-MIA-PHX,,5:09 p.m.,,7:53 p.m.
765,flightexplorer,AA-1007-MIA-PHX,,5:09 p.m.,,7:43 p.m.
862,flights,AA-1007-MIA-PHX,,5:08 p.m.,,7:55 p.m.
1121,foxbusiness,AA-1007-MIA-PHX,,5:09 p.m.,,7:53 p.m.
1275,myrateplan,AA-1007-MIA-PHX,,5:09 p.m.,,7:43 p.m.
1374,orbitz,AA-1007-MIA-PHX,4:55 p.m.,4:56 p.m.,8:05 p.m.,7:55 p.m.
1539,flytecomm,AA-1007-MIA-PHX,,5:09 p.m.,,7:43 p.m.
1613,mytripandmore,AA-1007-MIA-PHX,4:55 p.m.,4:56 p.m.,8:05 p.m.,7:55 p.m.
1700,wunderground,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,7:38 p.m.,7:43 p.m.
1809,flylouisville,AA-1007-MIA-PHX,,5:08 p.m.,,7:55 p.m.
1909,quicktrip,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
2001,allegiantair,AA-1007-MIA-PHX,,5:09 p.m.,,7:53 p.m.
2101,businesstravellogue,AA-1007-MIA-PHX,,5:08 p.m.,,7:55 p.m.
2206,gofox,AA-1007-MIA-PHX,,5:09 p.m.,,7:53 p.m.
2294,flightaware,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,7:38 p.m.,7:43 p.m.
35,aa,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
117,helloflight,AA-1165-JFK-MIA,,7:23 a.m.,,9:45 a.m.
215,boston,AA-1165-JFK-MIA,6:59 a.m.,7:23 a.m.,10:34 a.m.,9:58 a.m.
306,weather,AA-1165-JFK-MIA,6:59 a.m.,7:23 a.m.,10:34 a.m.,9:56 a.m.
404,airtravelcenter,AA-1165-JFK-MIA,,7:23 a.m.,,9:45 a.m.
502,flightview,AA-1165-JFK-MIA,6:59 a.m.,7:23 a.m.,10:34 a.m.,10:04 a.m.
603,flightstats,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
694,panynj,AA-1165-JFK-MIA,6:59 a.m.,7:23 a.m.,10:34 a.m.,10:04 a.m.
775,flightexplorer,AA-1165-JFK-MIA,,7:23 a.m.,,9:45 a.m.
794,mia,AA-1165-JFK-MIA,,,10:34A 12-01-11,10:08A
876,flights,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
1040,travelocity,AA-1165-JFK-MIA,6:59 a.m.,6:56 a.m.,10:34 a.m.,10:04 a.m.
1135,foxbusiness,AA-1165-JFK-MIA,6:59 a.m.,7:23 a.m.,10:34 a.m.,10:04 a.m.
1290,myrateplan,AA-1165-JFK-MIA,,7:23 a.m.,,9:45 a.m.
1388,orbitz,AA-1165-JFK-MIA,6:59aDec 1,6:56aDec 1,10:34aDec 1,10:04aDec 1
1554,flytecomm,AA-1165-JFK-MIA,,7:23 a.m.,,9:45 a.m.
1621,mytripandmore,AA-1165-JFK-MIA,6:59aDec 1,6:56aDec 1,10:34aDec 1,10:04aDec 1
1709,wunderground,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,9:25 a.m.,9:45 a.m.
1823,flylouisville,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
1924,quicktrip,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
2015,allegiantair,AA-1165-JFK-MIA,6:59 a.m.,7:23 a.m.,10:34 a.m.,10:04 a.m.
2115,businesstravellogue,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
2220,gofox,AA-1165-JFK-MIA,6:59 a.m.,7:23 a.m.,10:34 a.m.,10:04 a.m.
2303,flightaware,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,9:25 a.m.,9:45 a.m.
2360,world-flight-tracker,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
29,aa,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
106,helloflight,AA-1221-MCO-ORD,,8:23 p.m.,,9:47 p.m.
204,boston,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:49 p.m.
297,weather,AA-1221-MCO-ORD,8:00 p.m.,,9:45 p.m.,
393,airtravelcenter,AA-1221-MCO-ORD,,8:23 p.m.,,9:47 p.m.
491,flightview,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:49 p.m.
592,flightstats,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
683,panynj,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:49 p.m.
768,flightexplorer,AA-1221-MCO-ORD,,8:23 p.m.,,9:47 p.m.
809,mco,AA-1221-MCO-ORD,Thu  20:00,,,
865,flights,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
937,flightarrival,AA-1221-MCO-ORD,8:00 p.m.,,9:45 p.m.,
1032,travelocity,AA-1221-MCO-ORD,8:00 p.m.,8:01 p.m.,9:45 p.m.,9:53 p.m.
1124,foxbusiness,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:49 p.m.
1196,usatoday,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:49 p.m.
